0.01161, 7936.90492 , 10297.06647
0.01644, 3971.86531 , 6888.78368
0.03205, 5035.95613 , 7441.24255
0.04496, 4688.21787 , 6590.10546
0.06249, 7272.61400 , 10323.87982
0.08756, 3750.56944 , 4675.28831
0.12289, 4098.14745 , 4810.07782
0.17228, 2741.80524 , 3122.89783
0.24162, 2153.03031 , 2427.97117
0.33165, 1469.72036 , 1640.81765
0.47487, 963.71404  , 1044.12005
0.65871, 638.36551  , 677.85393
0.93314, 398.16581  , 435.70647
1.29417, 245.89558  , 266.42376
1.77629, 162.88907  , 176.47135
2.46456, 120.45887  , 134.47588
3.45625, 92.71644   , 101.45812
4.89889, 73.53568   , 80.46150
6.86899, 52.76933   , 57.74463
9.33287, 42.70694   , 46.72922
13.50590, 28.28393  , 31.26350
18.54058, 20.29846  , 21.99204
25.72591, 15.31460  , 16.59006
