0.01647, 7728.97776 , 11138.22852
0.03205, 5294.45000 , 6598.90793
0.04493, 3220.81617 , 3723.99240
0.06239, 3626.76691 , 3988.62843
0.08749, 2628.75993 , 2777.56181
0.12276, 2560.01080 , 2691.41526
0.17208, 1653.76417 , 1747.37607
0.24131, 1235.23107 , 1305.15176
0.33123, 847.43552  , 886.48560
0.47426, 550.13891  , 575.48947
0.65783, 357.18896  , 373.64833
0.93185, 218.37203  , 234.22405
1.29260, 144.64993  , 155.15033
1.77449, 104.85509  , 111.34640
2.46241, 82.34231   , 88.76288
3.45375, 67.63969   , 72.18753
4.89551, 54.45837   , 56.96782
6.86536, 41.91627   , 44.06781
9.32750, 33.25094   , 34.95770
13.49953, 23.03616  , 24.21860
18.53930, 19.69790  , 21.12780
25.72472, 15.01101  , 16.50874
